,lat,lng,total_square,osm_amenity_points_in_0.001,osm_amenity_points_in_0.005,osm_amenity_points_in_0.0075,osm_amenity_points_in_0.01,osm_building_points_in_0.001,osm_building_points_in_0.005,osm_building_points_in_0.0075,osm_building_points_in_0.01,osm_catering_points_in_0.001,osm_catering_points_in_0.005,osm_catering_points_in_0.0075,osm_catering_points_in_0.01,osm_city_closest_dist,osm_city_nearest_population,osm_crossing_closest_dist,osm_crossing_points_in_0.001,osm_crossing_points_in_0.005,osm_crossing_points_in_0.0075,osm_crossing_points_in_0.01,osm_culture_points_in_0.001,osm_culture_points_in_0.005,osm_culture_points_in_0.0075,osm_culture_points_in_0.01,osm_finance_points_in_0.001,osm_finance_points_in_0.005,osm_finance_points_in_0.0075,osm_finance_points_in_0.01,osm_healthcare_points_in_0.005,osm_healthcare_points_in_0.0075,osm_healthcare_points_in_0.01,osm_historic_points_in_0.005,osm_historic_points_in_0.0075,osm_historic_points_in_0.01,osm_hotels_points_in_0.005,osm_hotels_points_in_0.0075,osm_hotels_points_in_0.01,osm_leisure_points_in_0.005,osm_leisure_points_in_0.0075,osm_leisure_points_in_0.01,osm_offices_points_in_0.001,osm_offices_points_in_0.005,osm_offices_points_in_0.0075,osm_offices_points_in_0.01,osm_shops_points_in_0.001,osm_shops_points_in_0.005,osm_shops_points_in_0.0075,osm_shops_points_in_0.01,osm_subway_closest_dist,osm_train_stop_closest_dist,osm_train_stop_points_in_0.005,osm_train_stop_points_in_0.0075,osm_train_stop_points_in_0.01,osm_transport_stop_closest_dist,osm_transport_stop_points_in_0.005,osm_transport_stop_points_in_0.0075,osm_transport_stop_points_in_0.01,reform_count_of_houses_1000,reform_count_of_houses_500,reform_house_population_1000,reform_house_population_500,reform_mean_floor_count_1000,reform_mean_floor_count_500,reform_mean_year_building_1000,reform_mean_year_building_500,latlng,region,realty_type,floor,loc,city,street,ts_eq_10,ts_eq_1000,y_pred,y_true,metric
275456,56.007010930447215,92.85476206641034,95.60161643550114,1,41,82,104,0,0,0,0,0,17,25,32,1.250900126081502,1095286.0,0.1173341260248903,0,38,84,104,0,0,1,2,0,4,6,9,0,1,3,9,9,11,2,6,6,0,3,3,0,4,8,11,0,12,34,42,0.0844314658227721,1.6203612101256326,0,0,0,0.2151358557971441,8,13,17,141,32,2610.0,592.0,6.1985294117647065,5.266666666666667,1968.7007299270076,1962.8,5200.5176739975195,красноярский край,110,unknown,95.0,красноярск,s18526,False,False,94800.0,93921.0060957264,0.0
277825,56.461124,84.95948140136719,76.55984871210235,3,90,201,292,0,0,0,0,0,22,51,68,3.076816993722071,576624.0,0.0997517758305133,0,19,42,59,0,1,3,5,1,2,7,8,9,13,16,2,12,25,1,2,2,3,12,15,0,12,31,43,2,56,113,163,201.02664632288185,2.174984212820933,0,0,0,0.2450777529242024,3,15,24,198,60,1785.0,533.0,4.253246753246753,4.568181818181818,1958.7635135135129,1954.0,4796.907814378286,томская область,10,unknown,85.0,томск,s12371,False,False,49200.0,46434.261036334006,0.0
276319,52.95850400000001,36.063695201932674,172.82567393806198,0,25,39,75,0,0,0,0,0,7,8,17,1.252420792225578,319550.0,0.269553503030889,0,5,18,32,0,0,1,4,0,1,2,9,2,2,2,2,7,9,0,0,0,0,0,1,0,2,4,7,0,12,17,28,303.4999246817247,73.10380817244263,0,0,0,0.156739566932954,7,13,18,178,60,1573.0,396.0,3.6196319018404894,2.7777777777777777,1949.8036809815949,1943.4259259259256,1909.8793466063328,орловская область,10,unknown,35.0,орёл,s1041,False,False,58300.0,65783.05028959108,0.0
276418,53.259224,34.31884743270849,48.36998316995068,4,8,19,39,0,0,0,0,0,1,3,6,3.8716458648114567,406553.0,0.0942747099414395,0,3,5,11,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,10,23,328.41681853678136,5.196048825233508,0,0,0,0.4440212208420805,0,1,5,63,29,2292.0,938.0,9.322580645161286,8.5,2001.9180327868853,2000.5,1827.7951828404464,брянская область,10,unknown,35.0,брянск,s31202,False,False,47700.0,42340.30830244939,0.0
276030,54.954545905107615,73.38953044912229,315.91070996608494,6,73,147,219,0,0,0,0,0,7,18,20,4.198415284514682,1164815.0,0.0729871802160155,1,8,20,39,1,3,5,9,0,10,14,18,4,11,14,1,2,3,0,2,2,1,5,6,0,5,11,18,5,53,104,160,4.6190712980254665,1.6681806120283456,0,0,0,0.0388971770695056,8,15,20,182,47,2756.0,800.0,4.723756906077347,4.680851063829787,1961.857142857143,1961.340425531915,4033.088320020584,омская область,100,unknown,75.0,омск,s9675,False,False,48100.0,51856.42487954496,0.0
276536,56.019234,92.8159362130589,78.06032199578547,0,9,28,54,0,0,0,0,0,1,2,5,3.873130567424538,1095286.0,0.0683810361161171,1,25,41,73,0,0,0,0,0,1,1,5,1,2,4,0,3,3,0,0,1,0,2,6,0,2,4,4,0,5,17,25,0.9224382802201164,1.2943698521160645,0,0,0,0.0629121284229145,12,16,25,213,62,4761.0,1483.0,5.815165876777251,6.290322580645161,1971.0758293838865,1974.145161290323,5199.47764964842,красноярский край,10,unknown,95.0,красноярск,s12582,False,False,83700.0,90788.76205996989,0.0
278892,59.928425,30.31887870073941,475.4353623786402,17,416,725,1157,0,0,1,2,8,148,248,393,1.146523900768944,5381736.0,0.0270475725382124,5,48,88,163,0,4,14,39,0,11,19,32,14,20,43,11,25,55,38,72,118,9,26,40,1,58,101,161,14,261,432,647,0.2626117290530817,1.4347099531393497,0,0,0,0.2091241207520876,24,34,73,237,84,4803.0,1846.0,4.575757575757576,4.549295774647887,1850.146464646465,1836.3428571428567,1816.9626483013592,санкт-петербург,10,unknown,35.0,санкт-петербург,s6752,False,False,299900.0,324456.3030150623,0.0
278291,56.34513000000001,43.87552114455507,225.23075957841567,3,35,108,155,0,0,0,0,0,7,17,24,8.280397867199108,1252236.0,0.0064713335023067,1,9,22,41,0,0,0,0,0,3,8,12,0,3,6,1,3,7,0,2,2,2,8,9,0,2,6,8,3,20,67,95,1.9047297543053603,0.7850214089070431,0,1,1,0.0124158746763345,4,18,26,113,27,2397.0,623.0,6.842592592592593,7.666666666666668,1970.824074074074,1973.7407407407409,2472.171942707705,нижегородская область,100,unknown,45.0,нижний новгород,s10862,False,False,47300.0,42511.9553737792,0.0
278567,57.6327328,39.87573432101772,63.74542426282133,5,45,128,220,0,0,0,1,1,7,33,54,1.465913956988745,603961.0,0.0477537338549166,2,28,52,76,0,1,4,7,0,5,9,17,4,4,10,2,3,7,0,0,4,1,3,4,1,9,15,21,2,26,80,123,245.3030944398208,1.3100358510008878,0,0,0,0.2102807014831674,6,12,27,209,46,2572.0,638.0,4.479289940828402,5.027027027027027,1958.5116279069769,1965.0,2298.1475413270036,ярославская область,110,other,35.0,ярославль,s17172,False,False,72500.0,82907.91160491822,0.0
277738,54.750675,55.99927868271688,616.2969153451792,0,34,78,114,0,0,0,1,0,5,9,13,4.1690538142538704,1128787.0,0.1088510352172838,1,1,15,25,0,0,0,0,0,5,6,9,1,5,8,0,0,1,0,0,0,1,2,2,0,1,4,6,0,23,56,81,353.4065073856012,3.134098348585673,0,0,0,0.0781554771426348,3,8,18,237,64,5538.0,2140.0,7.300448430493272,8.109375,1969.430379746836,1968.859375,3065.9983073918597,башкортостан,100,first,55.0,уфа,s32190,False,False,44400.0,40237.0990062655,0.0
