,lat,lng,total_square,osm_amenity_points_in_0.001,osm_amenity_points_in_0.005,osm_amenity_points_in_0.0075,osm_amenity_points_in_0.01,osm_building_points_in_0.001,osm_building_points_in_0.005,osm_building_points_in_0.0075,osm_building_points_in_0.01,osm_catering_points_in_0.001,osm_catering_points_in_0.005,osm_catering_points_in_0.0075,osm_catering_points_in_0.01,osm_city_closest_dist,osm_city_nearest_population,osm_crossing_closest_dist,osm_crossing_points_in_0.001,osm_crossing_points_in_0.005,osm_crossing_points_in_0.0075,osm_crossing_points_in_0.01,osm_culture_points_in_0.001,osm_culture_points_in_0.005,osm_culture_points_in_0.0075,osm_culture_points_in_0.01,osm_finance_points_in_0.001,osm_finance_points_in_0.005,osm_finance_points_in_0.0075,osm_finance_points_in_0.01,osm_healthcare_points_in_0.005,osm_healthcare_points_in_0.0075,osm_healthcare_points_in_0.01,osm_historic_points_in_0.005,osm_historic_points_in_0.0075,osm_historic_points_in_0.01,osm_hotels_points_in_0.005,osm_hotels_points_in_0.0075,osm_hotels_points_in_0.01,osm_leisure_points_in_0.005,osm_leisure_points_in_0.0075,osm_leisure_points_in_0.01,osm_offices_points_in_0.001,osm_offices_points_in_0.005,osm_offices_points_in_0.0075,osm_offices_points_in_0.01,osm_shops_points_in_0.001,osm_shops_points_in_0.005,osm_shops_points_in_0.0075,osm_shops_points_in_0.01,osm_subway_closest_dist,osm_train_stop_closest_dist,osm_train_stop_points_in_0.005,osm_train_stop_points_in_0.0075,osm_train_stop_points_in_0.01,osm_transport_stop_closest_dist,osm_transport_stop_points_in_0.005,osm_transport_stop_points_in_0.0075,osm_transport_stop_points_in_0.01,reform_count_of_houses_1000,reform_count_of_houses_500,reform_house_population_1000,reform_house_population_500,reform_mean_floor_count_1000,reform_mean_floor_count_500,reform_mean_year_building_1000,reform_mean_year_building_500,latlng,region,realty_type,floor,loc,city,street,ts_eq_10,ts_eq_1000,y_pred,y_true,metric
275399,56.82346925440042,60.615892728383855,780.5984103193367,2,50,125,243,0,0,0,0,0,11,29,58,1.5493467396931389,1468833.0,0.195905843301396,0,19,43,79,0,0,4,9,0,7,13,19,2,5,10,1,2,7,6,8,13,1,2,9,1,9,21,38,1,18,60,111,1.9793263022770804,2.1737535169369715,0,0,0,0.1620200046504032,13,26,44,106,13,2250.0,172.0,7.088235294117648,6.333333333333332,1973.2912621359224,1965.5,3444.405316779354,свердловская область,10,unknown,65.0,екатеринбург,s21766,False,False,43800.0,46352.89993121792,0.0
275311,53.75207593107079,87.11418727550009,354.0821674758315,0,30,77,103,0,0,0,0,0,2,8,10,1.5077052417609946,552105.0,0.32902319062554,0,2,3,27,0,1,7,10,0,2,3,6,0,1,6,10,17,19,0,0,0,1,2,2,1,2,4,4,0,13,35,46,303.4449010018484,5.472707185786042,0,0,0,0.3332925608545029,2,11,29,193,54,3765.0,1432.0,5.044943820224719,4.5769230769230775,1951.5,1943.2549019607843,4682.568409106201,кемеровская область,110,unknown,85.0,новокузнецк,s25202,False,False,35400.0,29552.462567079823,0.10184488430024947
277557,53.301632,34.29672085798026,273.5811010274068,1,11,16,30,0,0,0,0,0,0,1,2,8.209714918518182,406553.0,0.1340648380893747,0,11,42,70,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,9,13,26,325.4588381922538,6.35386884158233,0,0,0,0.1142384839216305,2,7,14,105,51,2937.0,1405.0,6.4343434343434325,6.235294117647059,1980.1717171717169,1980.470588235294,1828.0711939787882,брянская область,10,first,35.0,брянск,s9554,False,False,35600.0,36789.821965778654,0.0
276803,51.73296,36.19185804346813,122.02863041738588,0,91,212,319,0,0,1,3,0,20,46,63,0.9586603310486222,443212.0,0.0991551266382181,0,32,62,86,0,6,8,13,0,9,18,26,2,4,8,5,12,18,1,1,2,1,10,12,0,4,10,21,0,46,117,180,432.1919996751081,2.559127870550981,0,0,0,0.1190912194469574,9,19,33,127,46,1294.0,381.0,4.73109243697479,3.9047619047619047,1953.6050420168067,1940.3809523809523,1872.311944488415,курская область,10,first,35.0,курск,s20035,False,False,50400.0,60494.00025838737,0.013896355953144703
276295,52.26455,104.3343723986732,109.37758127515266,0,16,21,38,0,0,0,0,0,1,2,4,4.398514395159611,623562.0,0.0441972793574049,3,12,16,21,0,0,0,0,0,0,0,1,0,0,2,0,0,3,2,2,2,2,2,2,0,0,0,0,0,11,15,22,60.36543944891278,4.5924837205367,0,0,0,0.0165253808383944,6,12,13,302,97,2680.0,807.0,5.356060606060606,6.432835820895523,1959.3153846153848,1984.6,5452.989022949075,иркутская область,110,unknown,105.0,иркутск,s7033,False,False,95900.0,96683.43253447243,0.0
275473,47.29467294450038,39.71571582387848,291.4083104182785,3,27,44,72,0,0,0,0,0,5,8,12,8.308688507438001,1114806.0,0.0725468026174737,1,5,12,22,0,0,0,0,1,2,3,7,1,1,1,0,0,3,0,0,0,3,3,4,1,1,1,1,2,15,26,43,434.2709583829368,5.7360523227935625,0,0,0,0.0931906101792262,17,22,36,102,42,2268.0,877.0,9.9010989010989,9.783783783783782,1984.608695652174,1984.6216216216212,1878.341790647051,ростовская область,110,other,34.0,ростов-на-дону,s11135,False,False,57200.0,66720.8151067899,0.0
279419,55.0280701,73.29289372772679,126.81203444326393,6,76,163,255,0,0,0,0,0,14,30,42,6.599027025637247,1164815.0,0.056291288263752,4,11,34,50,0,0,0,0,0,3,6,11,5,9,14,2,2,2,0,0,0,0,4,6,0,5,14,23,5,52,118,186,3.6863384047705896,9.4708137570962,0,0,0,0.1310057428349274,5,9,12,139,18,1941.0,413.0,4.496402877697841,7.222222222222222,1966.9640287769785,1980.4444444444448,4033.1664938812005,омская область,10,other,75.0,омск,s14617,False,False,47100.0,47763.60561197305,0.0
276821,56.042713,92.89198941319484,407.41425434445154,0,15,36,69,0,0,0,0,0,2,4,9,3.877479318123686,1095286.0,0.2081285541668904,0,18,29,58,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,1,1,0,0,1,0,1,3,5,0,11,21,40,2.072526589920332,4.235021127824065,0,0,0,0.2646119187556038,4,8,18,39,3,1496.0,80.0,16.846153846153847,11.333333333333336,2012.6153846153843,2011.0,5205.919102682717,красноярский край,100,unknown,95.0,красноярск,s27895,False,False,58300.0,60844.70470942812,0.0
279653,59.376766,28.62520652991311,257.89497318588184,0,15,32,51,0,0,0,1,0,2,2,7,174.2536853295669,210116.0,0.0618363799458652,2,10,20,32,0,0,0,0,0,0,2,2,0,1,2,0,0,0,0,0,2,1,4,5,0,1,1,2,0,11,21,28,111.67117756665937,1.5086115355394685,0,0,0,0.0910611214194843,3,5,10,61,16,1458.0,287.0,6.770491803278687,6.125,1977.672131147541,1970.8125,1699.6721898283229,ленинградская область,10,unknown,25.0,кингисепп,s13059,False,False,58200.0,67015.65287022096,0.0
278899,55.98283000000001,92.86715786582656,275.7418001842774,1,4,10,25,0,0,0,0,0,0,1,1,2.973177416927054,1095286.0,0.0569739688046217,1,25,43,62,0,0,0,0,0,1,1,2,1,1,1,0,0,1,0,0,0,0,0,1,0,1,2,3,0,1,6,17,3.0923284137997444,1.4082135320670708,0,0,0,0.1094991361518624,5,8,14,113,34,3286.0,876.0,10.045454545454543,9.75,1986.705357142857,1987.470588235294,5198.966311385731,красноярский край,10,unknown,95.0,красноярск,s23774,False,False,47500.0,44773.770214560165,0.0
